document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
15,2012-03-01,international,60,0,0,0,0.016666666666666666,0,0.016666666666666666,0.016666666666666666,0,0.016666666666666666,0,-0.016666666666666666,0.016666666666666666,0
16,2012-03-01,international,50,0,0.02,0.02,0,0,0,0,0,0,0,0.02,0,0.02
17,2012-03-01,national,95,-0.010526315789473684,0.031578947368421054,0.021052631578947368,-0.010526315789473684,0.010526315789473684,0,-0.031578947368421054,0.031578947368421054,0,0,0,0,0
18,2012-03-01,both,42,0.023809523809523808,0.023809523809523808,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
19,2012-04-01,national,32,0.03125,0,0.03125,0,0,0,0,0,0,0,0.0625,0,0.0625
20,2012-04-01,national,43,0.023255813953488372,0,0.023255813953488372,-0.023255813953488372,0.046511627906976744,0.023255813953488372,0,0,0,0,0,0.023255813953488372,0.023255813953488372
21,2012-04-01,international,54,-0.037037037037037035,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.05555555555555555,0,0,0,0,0,0,0
22,2012-04-01,international,51,0,0,0,0.0392156862745098,0.0196078431372549,0.058823529411764705,0.0196078431372549,0,0.0196078431372549,0.0196078431372549,-0.0196078431372549,0.0196078431372549,0
23,2012-04-01,national,141,0,0.0425531914893617,0.0425531914893617,0.014184397163120567,0,0.014184397163120567,-0.02127659574468085,0.02127659574468085,0,0,0.014184397163120567,0,0.014184397163120567
24,2012-05-01,national,46,0.021739130434782608,0,0.021739130434782608,0,0,0,0,0,0,0.021739130434782608,0.043478260869565216,0,0.043478260869565216
25,2012-05-01,national,74,-0.02702702702702703,0.04054054054054054,0.013513513513513514,-0.06756756756756757,0.06756756756756757,0,-0.013513513513513514,0.013513513513513514,0,0,-0.013513513513513514,0.02702702702702703,0.013513513513513514
