periodo,year,mes,inflacion_mes,inflacion_diciembre,inflacion_interanual,inflacion_diciembre2,inflacion_interanual2,tc_mes,tc_diciembre,tc_interanual,tc_diciembre2,tc_interanual2,pib_trimestre,pib_diciembre,pib_diciembre2,tpm_mes,tpm_trimestre,tpm_diciembre,tpm_interanual,tpm_interanual2,tc_diciembre_v,tc_interanual_v,tc_diciembre2_v,tc_interanual2_v
2009-12-01,2009,12,0.588,6.10636363636364,6.876,7.22181818181818,,36.2581818181818,36.2581818181818,38.3883818181818,38.3881818181818,,1.73777777777778,2.34,3.93,4,3.9,4.82888888888889,,,2.45318400164402,5.87884950718314,5.87829702099529,
2010-01-01,2010,1,0.842727272727273,7.21818181818182,7.01363636363636,6.82545454545455,,36.3697454545455,38.2307363636364,38.4965090909091,39.9725181818182,,3.838,4.22818181818182,4.66727272727273,4.1,4.3,5.96333333333333,,,5.84367764018928,5.85613520687234,4.42627366260576,
2010-02-01,2010,2,0.785384615384615,7.06571428571429,7.01384615384615,6.72857142857143,,36.5453846153846,38.1570142857143,38.5177923076923,39.9946857142857,,3.63166666666667,4.6,5.29285714285714,4.02083333333333,4.025,5.335,,,5.63957443442494,5.42759695908678,4.71871348461217,
2010-03-01,2010,3,0.706875,7.00705882352941,6.2825,6.53941176470588,,36.41875,37.8783705882353,38.223725,39.5094294117647,,3.24533333333333,4.30882352941176,5.16470588235294,4.01666666666667,4.01875,5.19529411764706,,,4.86813562634356,4.95716302419655,4.23328487795809,
2010-04-01,2010,4,0.625294117647059,7.14944444444444,6.63529411764706,6.775,,36.5052941176471,37.8455777777778,38.5316588235294,39.6933111111111,,4.15333333333333,4.67411764705882,5.17352941176471,4,4.221875,4.98941176470588,,,4.77734711455642,5.55178761200357,4.81957610113787,
2010-05-01,2010,5,0.496470588235294,7.17333333333333,7.51941176470588,7.16944444444444,,36.7623529411765,38.1938888888889,38.9370882352941,40.0735555555556,,5.0866666666666696,5.17235294117647,5.52941176470588,4.06666666666667,4.32352941176471,5.02470588235294,,,5.74166359050081,5.91450494777717,4.85241288163713,
2010-06-01,2010,6,0.761428571428571,7.118,6.97142857142857,6.96333333333333,,36.865,38.446,39.0392857142857,39.966,,5.00833333333333,5.51285714285714,5.67857142857143,4.07692307692308,4.11071428571429,4.71928571428571,,,6.43964562569215,5.90120602779414,3.85579493300663,
2010-07-01,2010,7,0.4875,6.53176470588235,6.27625,6.37588235294118,,36.9398625,38.1109823529412,38.8622375,39.6947588235294,,4.44285714285714,5.45588235294118,5.45470588235294,4,4.24117647058824,4.65705882352941,,,5.51213276008078,5.20183921633812,4.06617918611792,
2010-08-01,2010,8,0.479166666666667,6.52071428571429,6.68583333333333,6.42714285714286,,37.035,37.8792214285714,39.0895,39.72735,,4.96818181818182,5.50214285714286,5.14285714285714,4,4.17307692307692,4.58357142857143,,,4.87049121974372,5.54779298037368,4.78759939197259,
2010-09-01,2010,9,0.425833333333333,6.33692307692308,6.53916666666667,6.41615384615385,,37.1666666666667,37.8321846153846,39.0259583333333,39.7104538461538,,4.48090909090909,5.46230769230769,5.09230769230769,4.08333333333333,4.16923076923077,4.67307692307692,,,4.74026748445354,5.00835136431401,4.8662343499335,
